ts300399,NULL,NULL,NULL,0.6,NULL
tm84618,tt0075314,8.3,795222.0,27.612,8.2
tm127384,tt0071853,8.2,530877.0,18.216,7.8
tm70993,tt0079470,8.0,392419.0,17.505,7.8
tm190788,tt0070047,8.1,391942.0,95.337,7.7
ts22164,tt0063929,8.8,72895.0,12.919,8.3
tm14873,tt0066999,7.7,153463.0,14.745,7.5
tm185072,tt0058385,7.8,94121.0,15.949,7.6
tm98978,tt0080453,5.8,69053.0,44.038,6.2
tm119281,tt0061418,7.7,111189.0,15.309,7.5
tm67378,tt0060862,7.3,16168.0,12.155,7.1
tm44204,tt0054953,7.5,50150.0,15.405,7.4
tm69778,tt0079833,7.6,30277.0,14.008,7.5
tm69997,tt0079807,8.1,5141.0,4.681,7.5
tm96649,tt0081071,6.9,11329.0,8.808,6.6
tm16479,tt0047673,7.5,42373.0,9.71,7.2
tm135083,tt0051390,7.5,4385.0,3.556,7.4
tm14491,tt0183686,7.2,1117.0,2.419,6.5
tm89386,tt0191182,7.5,2416.0,9.305,7.4
tm156453,tt0068562,6.2,411.0,2.466,6.1
tm27298,tt0057357,7.6,2470.0,4.816,7.1
tm356209,tt0268639,6.4,82.0,1.611,6.3
tm204541,tt0049761,6.7,590.0,1.044,5.9
tm14350,tt0077751,7.2,1689.0,1.736,6.0
tm102287,tt0316472,6.8,231.0,1.826,5.8
tm76557,tt8312792,9.0,943.0,2.733,7.7
tm71909,tt0060104,6.7,225.0,2.047,6.3
tm94651,tt0080653,2.1,25.0,3.46,4.9
tm19608,tt0044429,7.4,1219.0,1.866,7.0
ts45948,tt0202477,8.1,2144.0,1.49,7.0
tm90896,tt0074168,7.2,768.0,3.768,5.4
tm75975,tt0064842,6.9,168.0,1.788,7.0
tm97793,NULL,NULL,NULL,2.313,8.0
tm85426,NULL,NULL,NULL,2.612,7.7
tm188894,NULL,NULL,NULL,3.381,8.5
tm107372,tt0071811,6.5,236.0,1.22,5.3
tm200475,tt0169599,6.5,106.0,1.104,7.3
tm259855,tt0170799,6.2,43.0,0.6,5.3
tm259684,tt0170803,7.8,75.0,1.4,5.0
tm344089,tt0237395,6.2,137.0,0.732,7.0
tm358653,tt0157132,6.7,78.0,0.998,6.0
tm100027,tt0079749,6.2,555.0,2.554,6.8
tm10204,tt0056379,6.8,285.0,1.9,5.8
tm403346,tt3290368,4.6,14.0,1.24,6.0
tm16812,tt1219315,4.2,35.0,1.097,6.0
tm336403,tt0230412,5.1,41.0,1.08,3.8
tm119776,tt0092099,6.9,329656.0,112.137,7.0
ts20681,tt0098904,8.9,302700.0,128.743,8.3
tm111075,tt0092005,8.1,392790.0,16.096,7.9
tm180542,tt0087843,8.3,342335.0,21.322,8.4
tm138875,tt0098635,7.7,212913.0,16.005,7.4
tm155792,tt0100758,6.7,92647.0,22.75,6.6
tm22327,tt0093058,8.3,723306.0,36.502,8.1
tm54450,tt0085333,6.7,80945.0,19.311,6.8
tm2386,tt0087800,7.4,230543.0,53.853,7.3
ts22082,tt0083437,6.9,33760.0,44.378,7.5
tm145608,tt0099077,7.8,137549.0,13.761,7.8
ts21715,tt0086815,6.5,4948.0,49.384,6.6
tm41289,tt0083564,6.6,44866.0,15.857,6.5
tm132694,tt0098084,6.5,102212.0,32.854,6.6
ts20678,tt0096694,7.1,34854.0,16.945,8.0
tm117580,tt0091939,6.7,14277.0,6.212,6.7
tm20712,tt0092948,7.6,19646.0,9.727,7.3
tm130586,tt0082329,4.9,8374.0,19.518,5.6
ts25028,tt0072584,6.7,3126.0,1440.855,6.7
ts23753,tt0096643,6.4,2866.0,7.506,6.3
ts2760,tt0329829,6.1,1759.0,25.697,7.3
ts987,tt0081848,7.4,3514.0,7.748,7.4
tm125985,tt0159510,7.2,1242.0,12.744,7.2
tm40103,tt0095262,7.3,1649.0,8.356,6.8
tm21953,tt0307403,7.2,651.0,1.791,7.2
tm152839,tt0259057,6.0,353.0,1.46,6.3
tm62924,tt0084352,7.9,15186.0,7.641,7.4
tm114356,tt0091106,6.0,901.0,1.631,6.1
tm147829,tt0100848,6.0,448.0,2.596,5.3
tm126769,tt0089108,8.0,6285.0,8.19,8.2
tm49037,tt0159511,7.7,1210.0,11.448,7.5
tm159912,tt0098999,7.6,8902.0,4.372,6.5
tm133914,tt0213984,8.1,1522.0,1.429,6.8
tm38736,tt0096286,6.7,494.0,1.291,6.9
tm258072,tt0090589,7.0,209.0,2.203,7.0
tm52815,tt0208903,6.5,1449.0,3.042,5.3
tm137013,tt0098237,7.2,857.0,1.714,6.4
tm157853,tt0099833,5.6,200.0,2.768,4.9
tm157603,tt0099429,6.6,5273.0,2.38,6.5
tm45720,tt10130668,8.7,154.0,1.465,7.5
tm55091,tt0095945,7.1,144.0,2.673,8.0
tm151332,tt0099858,6.5,643.0,3.021,5.3
tm24110,tt0094052,6.3,357.0,2.564,6.8
tm348735,tt0177505,5.1,92.0,1.15,5.0
tm51083,tt0096179,5.8,380.0,1.509,5.8
tm126791,NULL,NULL,NULL,1.532,9.2
tm186777,NULL,NULL,NULL,4.494,7.6
tm311264,tt0239682,4.8,68.0,1.825,NULL
tm172482,tt0807047,6.1,297.0,2.002,5.8
tm52274,tt0084492,6.3,149.0,1.069,5.5
tm132164,NULL,NULL,NULL,3.245,7.5
tm342996,tt0301231,6.2,241.0,1.476,NULL
ts63001,tt0094478,3.8,6.0,0.6,NULL
tm411457,tt0358053,6.1,65.0,1.094,NULL
tm371359,tt0239495,5.2,122.0,3.243,5.0
tm446654,tt0097926,5.4,188.0,2.744,6.0
tm47673,tt0084042,7.3,1113.0,2.547,6.7
tm419052,tt0379272,6.3,70.0,0.892,7.0
tm11556,tt0114214,6.5,92224.0,17.543,6.5
ts20981,tt0239195,7.4,24368.0,73.107,7.3
ts22176,tt0118480,8.4,90196.0,167.57,8.2
ts21223,tt0168366,7.6,172.0,138.135,7.6
tm122434,tt0109830,8.8,1994599.0,57.114,8.5
tm106462,tt0116483,7.0,217534.0,16.583,6.6
ts20339,tt0388629,8.8,112586.0,105.955,8.8
tm57554,tt0120815,8.6,1346020.0,54.874,8.2
ts34435,tt0213338,8.9,112887.0,34.769,8.5
ts20927,tt0106145,8.1,61145.0,61.159,7.9
ts5145,tt0176095,7.8,3274.0,15.699,7.6
tm192405,tt0119177,7.8,298168.0,18.355,7.6
ts21567,tt0238784,8.2,119054.0,51.125,7.8
tm55553,tt0120611,7.1,267181.0,47.411,6.7
tm56574,tt0128853,6.7,209258.0,15.015,6.6
tm192037,tt0120201,7.3,288960.0,22.126,7.0
ts20983,tt0112159,8.5,64727.0,51.993,8.6
ts22193,tt0108847,7.8,9708.0,30.176,7.9
tm191989,tt0119008,7.7,300073.0,14.769,7.5
ts20960,tt0106064,6.5,21949.0,21.083,6.7
tm65686,tt0120873,6.5,103263.0,28.657,6.5
ts11397,tt0222518,6.2,3808.0,23.374,6.2
tm54903,tt0194542,6.6,118811.0,22.205,6.3
tm187187,tt0107362,6.4,149290.0,18.865,6.4
tm191772,tt0120102,7.1,141308.0,14.442,7.2
tm191848,tt0118971,7.5,361422.0,34.774,7.4
tm121879,tt0105265,7.2,59086.0,16.558,7.1
tm44402,tt0172493,7.3,180532.0,17.613,7.5
ts22489,tt0111987,7.6,13361.0,88.924,8.0
ts25252,tt4834194,7.2,20888.0,75.438,7.3
ts21034,tt0290223,7.9,15823.0,149.742,8.6
tm53419,tt0146838,6.9,118479.0,13.825,6.8
tm189764,tt0107554,7.5,57399.0,15.347,7.5
tm9323,tt0112851,7.1,183638.0,19.718,6.9
tm46173,tt0120746,6.8,181306.0,25.426,6.5
tm19673,tt0187393,7.2,270231.0,20.438,7.1
tm24877,tt0215129,6.5,167670.0,16.989,6.2
tm189433,tt0106965,6.0,75244.0,31.688,6.2
ts251477,NULL,NULL,NULL,12.155,7.0
tm1822,tt15327306,4.5,9208.0,9.773,5.5
tm187791,tt0107206,7.2,101939.0,15.02,7.0
tm19494,tt0191397,6.6,64087.0,13.465,6.6
tm10739,tt0113481,5.6,71062.0,11.747,5.7
tm113576,tt0110367,7.3,57621.0,17.027,7.3
tm191387,tt0118615,4.8,103459.0,31.57,5.1
tm6859,tt0102492,6.9,79800.0,21.381,7.4
tm186589,tt0106582,6.5,128179.0,20.292,6.4
tm191374,tt0119345,5.7,142696.0,18.102,5.9
tm8446,tt0103060,6.0,55499.0,16.459,6.1
ts8570,tt0144701,3.8,9955.0,46.955,5.0
tm21596,tt0164052,5.8,130099.0,24.125,5.9
tm48430,tt0120685,5.4,191722.0,38.87,5.6
tm190835,tt0169858,8.0,51938.0,36.756,8.4
tm192199,tt0120177,5.2,67761.0,15.124,5.3
tm184205,tt0106701,5.6,60779.0,24.079,5.8
tm12499,tt0113957,5.9,66127.0,11.838,6.0
tm192431,tt0962637,6.2,64625.0,11.387,6.1
tm56033,tt0159382,7.0,21382.0,7.89,6.8
tm190486,tt0108308,4.7,33128.0,15.356,5.4
tm61103,tt0144214,6.4,58726.0,11.976,6.4
tm117488,tt0110657,4.5,30138.0,20.882,5.3
tm55732,tt0130018,4.7,73269.0,17.756,5.3
tm191431,tt0119013,4.7,34127.0,12.697,5.1
tm17721,tt0164212,6.5,25432.0,11.459,6.1
ts20939,tt0115275,5.7,3713.0,7.483,7.3
ts21693,tt0108927,6.2,12535.0,12.029,7.6
ts22286,tt0221735,8.0,4936.0,53.714,8.7
tm190811,tt0107004,6.5,11506.0,10.551,6.3
tm107659,tt0117057,6.6,19829.0,8.391,6.7
ts21581,tt0247102,7.2,4482.0,17.929,7.6
tm7135,NULL,NULL,NULL,1.08,7.5
tm7073,tt0102227,4.5,3178.0,8.52,5.1
tm63514,tt0174852,7.9,4247.0,4.869,7.8
ts20918,tt0200353,6.8,2346.0,9.733,8.0
tm10811,tt0113280,6.8,4921.0,5.31,6.8
tm188970,tt0152183,8.5,3085.0,3.88,8.1
tm188606,tt0108041,7.0,678.0,2.783,6.5
tm128073,NULL,NULL,NULL,4.105,7.9
ts18465,tt0962853,7.1,39.0,0.947,8.3
tm64817,tt0500140,7.9,5834.0,5.834,7.6
tm320211,tt6051792,6.4,589.0,2.809,6.4
tm189171,tt0108291,6.7,1564.0,3.259,6.3
tm67635,tt0172684,7.6,51640.0,12.564,7.7
ts22080,tt0213363,7.4,4185.0,26.074,7.5
ts22039,tt0173554,7.4,1703.0,11.362,7.6
tm41525,tt0221344,7.8,5943.0,11.526,7.9
tm7951,tt0294967,5.9,195.0,1.339,7.0
ts21684,tt0108800,7.8,3106.0,16.211,7.3
tm55100,tt0164538,7.5,28409.0,6.381,6.8
ts224786,NULL,NULL,NULL,9.244,7.7
tm204173,tt0106206,4.7,320.0,1.082,4.7
tm191614,tt0119629,7.1,2825.0,3.928,6.6
tm8859,tt0114031,4.0,1678.0,2.566,4.8
tm424630,tt0103123,7.2,248.0,3.255,5.1
tm12876,tt0112553,8.1,12512.0,3.771,7.2
