6341,Peter Farrelly
6342,Bobby Farrelly
6251,David Zucker
14324,Dean Parisot
35464,Kevin Munroe
1499,Kevin Smith
67406,Rajkumar Hirani
1532066,Blair Simmons
2172694,블레어 시몬스
25323,Dennie Gordon
21534,John Gatins
7166,Gil Kenan
1093450,Jun Ki Sang
37846,Bruce Hunt
9048,Jonathan Liebesman
13753,Jessie Nelson
82577,Yann Demange
101425,Mennan Yapo
12043,D. J. Caruso
60588,Josef Rusnak
68596,Ashutosh Gowariker
12759,Grant Heslov
28317,Nicole Holofcener
5606,Zack Snyder
6296,Mark Helfrich
5231,Louis C.K.
31214,Neil LaBute
102370,Seiji Kishi
29424,Ben Ramsey
61013,Aamir Khan
378686,Li Wen Qi
277708,Takuya Igarashi
16964,Ric Roman Waugh
138262,Kazuhiro Furuhashi
20437,Rob Minkoff
280220,Jérome Mouscadet
20290,Marc Lawrence
29822,Tony Giglio
1435864,Fabrice Nzinzi
29168,Gary Binkow
398892,Anthony Williams
21932,Alan Mak
21934,Andrew Lau
187147,Christian Charles
367438,C.B. Harding
60139,Munehisa Sakai
1755,Joe Roth
46756,Brandon Camp
74658,Icíar Bollaín
589133,Michelle MacLaren
104101,Hajime Kamegaki
1321,Matthew O'Callaghan
65462,Manny Rodriguez
1134778,Phedon Papamichael
365746,Ellen Seidler
365745,Megan Siler
63670,Farah Khan
53156,Imtiaz Ali
212146,Laura Mañá
590682,Erik Canuel
85460,Tensai Okamura
430849,Dave Unwin
5194,Ava DuVernay
82104,Ben Gluck
386499,Takahiro Imamura
8281,Vondie Curtis-Hall
58673,Toshiyuki Tsuru
34975,David E. Talbert
162963,Michaël Prazan
368990,David Lee Miller
76186,Sangeeth Sivan
38960,Soi Cheang
65417,Michael Blieden
58642,Hirotsugu Kawasaki
146832,Michael Drumm
64446,Priyadarshan
332973,Ding Hei
209169,Mohamed Diab
61021,Farhan Akhtar
60636,Noriyuki Abe
416012,Juan Pablo Rebella
258258,Pablo Stoll
57419,Masahiko Murata
65374,Kevin Bray
55849,Eric Bross
376078,Tarun Mansukhani
37697,John Fortenberry
172569,Abhishek Kapoor
178219,Leste Chen
157893,Cisco Henson
376071,Atsuji Shimizu
66925,Anees Bazmee
30991,Ole Bornedal
72792,Ryoo Seung-wan
128103,Neeraj Vora
128449,Rakeysh Omprakash Mehra
143213,Soham Shah
232016,Khaled Marei
41557,Ramzy Bedia
54009,Eric Judor
63375,Nikkhil Advani
138721,Abhishek Chaubey
53952,Sanjay Leela Bhansali
375281,Julia Reichert
375280,Steven Bognar
61027,Dibakar Banerjee
140378,Pang Ho-cheung
61026,Anurag Kashyap
44761,Benny Chan
38641,Rohit Shetty
38906,Troy Miller
170546,Rohan Sippy
400512,Toshiya Shinohara
41918,Dani Levy
2086381,Chen Wei-Ling
408757,David Zeiger
66876,Milan Luthria
297627,Ketche
