3748,tm84618,1
14658,tm84618,2
7064,tm84618,3
3739,tm84618,4
48933,tm84618,5
32267,tm84618,6
519612,tm84618,7
29068,tm84618,8
519613,tm84618,9
3308,tm84618,10
43791,tm84618,11
519614,tm84618,12
519615,tm84618,13
82426,tm84618,14
20935,tm84618,15
7753,tm84618,16
43279,tm84618,17
519616,tm84618,18
8424,tm84618,19
20447,tm84618,20
519618,tm84618,21
49567,tm84618,22
15551,tm84618,23
475303,tm84618,24
43540,tm84618,25
466061,tm84618,26
212023,tm84618,27
5367,tm84618,28
17421,tm84618,29
38141,tm84618,30
811415,tm84618,31
1141852,tm84618,32
1662310,tm84618,33
1393387,tm84618,34
9446,tm84618,35
9451,tm84618,36
11472,tm127384,38
1549,tm127384,39
11474,tm127384,40
11473,tm127384,41
11475,tm127384,42
11476,tm127384,43
40898,tm127384,44
11478,tm127384,45
11482,tm127384,46
40899,tm127384,47
11481,tm127384,48
40900,tm127384,49
40901,tm127384,50
40902,tm127384,51
40903,tm127384,52
1275018,tm127384,53
1462970,tm127384,54
589811,tm127384,55
976111,tm127384,56
1462971,tm127384,57
90024,tm127384,58
1462991,tm127384,59
1462993,tm127384,60
1462994,tm127384,61
1462623,tm127384,62
1462995,tm127384,63
1462975,tm127384,64
1462978,tm127384,65
703435,tm127384,66
1463011,tm127384,67
1462986,tm127384,68
1462588,tm127384,69
889417,tm127384,70
1464056,tm127384,71
1671807,tm127384,72
11490,tm127384,73
84047,tm127384,74
1463016,tm127384,75
1463018,tm127384,76
1463021,tm127384,77
11475,tm127384,78
919694,tm127384,79
400172,tm127384,80
14908,tm127384,81
8327,tm127384,82
156072,tm127384,83
11472,tm70993,86
1549,tm70993,87
11473,tm70993,88
11474,tm70993,89
11475,tm70993,90
11476,tm70993,91
11477,tm70993,92
11478,tm70993,93
11479,tm70993,94
11482,tm70993,95
11480,tm70993,96
11481,tm70993,97
11483,tm70993,98
11484,tm70993,99
548006,tm70993,100
11485,tm70993,101
11489,tm70993,102
11487,tm70993,103
11486,tm70993,104
73106,tm70993,105
11488,tm70993,106
1700,tm190788,108
14440,tm190788,109
3288,tm190788,110
8032,tm190788,111
14442,tm190788,112
14444,tm190788,113
14441,tm190788,114
14443,tm190788,115
14445,tm190788,116
14446,tm190788,117
14447,tm190788,118
520251,tm190788,119
14448,tm190788,120
518372,tm190788,121
450171,tm190788,122
1022050,tm190788,123
14449,tm190788,124
14622,tm190788,125
525566,tm190788,126
50859,tm190788,127
7101,tm190788,128
49762,tm190788,129
176,tm190788,130
14450,tm190788,131
1171700,tm190788,132
1171801,tm190788,133
14452,tm190788,134
82422,tm190788,135
554384,tm190788,136
920339,tm190788,137
14451,tm190788,138
1171714,tm190788,139
1031264,tm190788,140
1171814,tm190788,141
897392,tm190788,142
1171936,tm190788,143
1171750,tm190788,144
1171752,tm190788,145
1171860,tm190788,146
1171760,tm190788,147
