24126,Robert Ryan
36499,Woody Strode
16444,Jack Palance
16488,Claudia Cardinale
12463,Ralph Bellamy
62767,Joe De Santis
62768,Rafael Bertrand
62769,Jorge Martínez de Hoyos
62770,Marie Gomez
57746,José Chávez
127918,Carlos Romero
23699,Vaughn Taylor
534965,Elizabeth Campbell
1461646,Don Carlos
58919,Leigh Chapman
80218,Roberto Contreras
2209884,Dirk Evans
539684,Darwin Lamb
227842,Eddie Little Sky
2209736,John Lopez
101889,John McKee
534354,Philip L. Parslow
650832,Ron Veto
16024,Gregory Peck
16485,David Niven
16350,Anthony Quinn
29175,Stanley Baker
16352,Anthony Quayle
29176,James Darren
21795,Irene Papas
29177,Gia Scala
29178,James Robertson Justice
4431,Richard Harris
29179,Bryan Forbes
29180,Allan Cuthbertson
16493,Michael Trubshawe
27914,Percy Herbert
16882,George Mikell
11738,Walter Gotell
13701,Tutte Lemkow
29181,Albert Lieven
29182,Norman Wooland
613906,Kleo Skouloudi
29184,Nicholas Papakonstantinou
29185,Christopher Rhodes
13433,William Hoehne Jr.
26761,Yasuo Yamada
26762,Eiko Masuyama
26764,Kiyoshi Kobayashi
26765,Gorō Naya
26766,Sumi Shimamoto
26767,Tarô Ishida
26769,Akio Nojima
26768,Eken Mine
26770,Ichirō Nagai
26771,Junkichi Yarita
26772,Kinpei Azusa
26773,Kōhei Miyauchi
26774,Mikio Terashima
26775,Minoru Midorikawa
25342,Osamu Saka
26776,Shigeharu Matsuda
26778,Shozo Hirabayashi
26777,Tadamichi Tsuneizumi
26779,Yoko Yamaoka
94767,Makio Inoue
25707,Richard Pryor
191724,Jennifer Lee Pryor
6982,David Carradine
10532,Keith Carradine
31443,Robert Carradine
16990,James Keach
5314,Stacy Keach
8364,Dennis Quaid
4700,Randy Quaid
103549,Kevin Brophy
11346,"Harry Carey, Jr."
11173,Christopher Guest
6802,Nicholas Guest
103550,Shelby Leverington
23528,Felice Orlandi
37723,Pamela Reed
7551,James Remar
30449,Fran Ryan
464614,Savannah Smith Boucher
499165,Amy Stryker
236701,James Whitmore Jr.
103745,John Bottoms
510469,West Buchanan
16449,Edward Bunker
510971,Martina Deignan
14610,Allan Graf
2429,Chris Mulkey
1516234,Thomas Myers
2081617,Marlise Karlin
477781,Glenn Robards
477969,Tim Rossovich
12578,Lin Shaye
495571,Gary Watkins
15955,Peter Jason
51314,Duke Stroud
10505,Steven Chambers
33594,William Traylor
20123,J. Don Ferguson
2081747,Hugh McGraw
1780983,Prentiss Rowe
2081774,Stuart Mossman
948516,Michael Lackey
2081848,Mitch Greenhill
76226,Bill Bryson
2081927,Tom Sauber
1739250,Jimmy Medearis
2081675,Edgar McLeod
12108,Luis Contreras
434506,Kalen Keach
2081881,R.B. Thrift
31821,Ry Cooder
863658,George D. Miklos
352662,Bill Rampley
25056,Bing Crosby
60326,Danny Kaye
74992,Rosemary Clooney
74993,Vera-Ellen
41874,Dean Jagger
27535,Mary Wickes
74994,John Brascia
74995,Anne Whitfield
74996,Bea Allen
74997,Glen Cargyle
25098,George Chakiris
100934,Barrie Chase
1023889,Lorinne Crawford
22477,Franklyn Farnum
14166,Bess Flowers
36504,Gavin Gordon
422099,Johnny Grant
57838,Percy Helton
88997,I. Stanford Jolley
45687,Sig Ruman
132394,Grady Sutton
71905,Herb Vigran
498631,Robert Crosson
173189,Farid Shawqi
530033,Hind Rostom
173191,Youssef Chahine
1321002,Hassan el Baroudi
557165,Abdel Aziz Khalil
557166,Said Khalil
557167,Abdel Ghani Nagdi
557168,Loutfi El Hakim
557169,Abdel Hamid Bodaoha
557170,F. El Demerdache
557171,Said El Araby
538017,Ahmed Abaza
557172,Hana Abdel Fattah
557173,Safia Sarwat
557178,Asaad Kellada
555008,Naima Wasfy
1521416,Sherine
1521414,Soheir
1321149,Esmat Mahmoud
1521441,Nawal Morsi
1521413,Gharib Moawad
1521412,Mohamed Mazhar
1521534,Galal Issa
1521409,Mahrous El Garhi
1521506,Ahmed El Tantawi
1521407,S. Abdel Aziz
225932,Nadia Lotfi
2342528,Safia Tharwat
1256646,Jack Doroshow
1161204,Bernard Giquel
543719,Mario Montez
540350,Crystal LaBeija
1161195,Rachel Harlow
20913,Andy Warhol
223669,Edie Sedgwick
535822,Jim Dine
35238,Bruce Jay Friedman
556507,Larry Rivers
14037,Terry Southern
539207,Jerry Leiber
509010,Jackie Curtis
406724,Pepper LaBeija
480534,Dorian Corey
1161200,Jill Krementz
343532,Mary Ellen Mark
16387,George Plimpton
218173,Gert Westphal
2069,Adolf Hitler
15595,Jane Fonda
1765,Donald Sutherland
529469,Pamela Donegan
529467,Len Chandler
37864,Michael Alaimo
208243,Holly Near
70582,Paul Mooney
488851,Rita Martinson
473965,Steve Jaffe
553375,Ahmad Mazhar
215296,Salah Zulfikar
558944,Leila Fawzi
520600,Hamdy Gheith
381250,Laila Taher
471620,Omar El-Hariri
152472,Husain Reyadh
530826,Mahmoud el-Meliguy
576037,Zaki Toleimat
498370,Tewfik El Dekn
899933,Mohamed Hamdy
1533795,Mohamed Sultan
1533801,Mohamed Abdel Gawad
1533807,Sami Loutfi
2172269,Ibrahim Emara
546021,Ahmed Louxor
500657,Salah Nazmi
173252,Shammi Kapoor
150319,Padmini
550685,Maria Menado
132270,Shashikala
222315,Agha
15793,Omar Sharif
225931,Faten Hamamah
225933,Ahmed Ramzy
560735,Ferdoos Mohammed
216804,Ezzat El Alaili
538123,Youssef Wahby
537218,Yehia Chahine
745894,Akela Kateb
1326853,Zeinab Sedky
493971,Ahmad Abdel Waress
479007,Abdel Aziz Makhyoun
745892,Ahmed Mehrez
540702,Abdel Warith Assir
745900,Aida Kamel
745891,Oussaida Abbass
536986,Zouzou Hamdy El-Hakim
745890,Abdel Salam Mohamed
745889,Halima El Soghayar
745888,Samira Mohamed
745887,Abou Hachich
745886,Gamil El Traboulsi
223449,Ahmad Zaki
323651,Ahmad Bedir
530275,Naglaa Fathy
452580,Abdalla Mahmoud
1113158,Mohsena Tawfik
740561,Seif Abdelrahman
564029,Negma Ibrahim
562894,Anwar Wagdi
225934,Shukri Sarhan
528719,Samira Ahmed
553401,Berlanty Abdel Hamid
1320827,Motawea Oweis
1330827,Malak Elgamal
1321780,Saeed Khalil
568098,Reyad El Kasabgy
223448,Saeed Saleh
